"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jaylen Waddle","DEN","74.2","991.8","6.0","1.7","12.4","0.0","0.3","173.1"
"Luther Burden III","CHI","72.7","972.7","5.7","7.7","38.2","0.1","0.3","171.7"
"Mike Evans","SF","67.2","945.6","6.9","0.0","0.0","0.0","0.2","169.4"
"Christian Watson","GB","57.9","930.0","7.3","1.7","8.0","0.0","0.3","166.6"
"Marvin Harrison Jr.","ARI","67.3","961.3","6.0","0.0","0.0","0.0","0.3","165.2"
"Courtland Sutton","DEN","67.4","884.3","7.2","0.0","0.0","0.0","0.2","164.9"
"Alec Pierce","IND","56.5","977.2","6.4","0.0","0.0","0.0","0.3","164.0"
"DK Metcalf","PIT","64.3","927.1","6.1","0.7","3.3","0.3","0.2","163.1"
"Parker Washington","JAC","62.6","863.2","5.7","5.0","13.6","0.1","0.4","153.1"
"Brian Thomas Jr.","JAC","58.0","871.6","5.4","2.7","17.7","0.4","0.2","152.1"
"Michael Pittman Jr.","PIT","80.5","806.1","5.0","0.0","0.0","0.0","0.3","150.1"
"Carnell Tate","TEN","65.2","887.5","4.5","0.7","3.0","0.0","1.4","145.8"
"Jayden Reed","GB","63.1","757.7","4.8","12.0","86.9","0.1","0.4","144.8"
"Jakobi Meyers","JAC","68.3","787.7","5.1","4.3","22.7","0.1","0.8","144.6"
"Michael Wilson","ARI","67.5","839.8","4.5","0.0","0.7","0.0","0.2","144.2"
"Quentin Johnston","LAC","53.6","757.3","6.9","1.7","5.9","0.0","0.7","143.1"
"Chris Godwin Jr.","TB","67.8","773.9","5.2","0.3","0.3","0.0","0.3","141.8"
"Jordan Addison","MIN","55.2","758.4","5.4","2.7","37.1","0.4","0.2","141.3"
"Xavier Worthy","KC","55.2","723.3","4.2","15.5","99.4","0.9","0.2","140.1"
"Wan'Dale Robinson","TEN","79.9","805.6","3.0","2.0","9.5","0.1","0.3","139.1"
"Romeo Doubs","NE","57.1","744.6","5.4","0.0","0.0","0.0","0.3","135.2"
"Deebo Samuel Sr.","SF","56.3","635.9","4.4","29.1","112.2","1.1","0.4","134.8"
"Matthew Golden","GB","55.9","758.7","4.6","5.5","27.3","0.1","0.4","133.5"
"De'Zhaun Stribling","SF","54.0","799.0","4.7","1.5","6.5","0.0","1.3","133.5"
"Stefon Diggs","WAS","67.0","747.1","4.2","0.3","0.7","0.0","0.2","132.7"
"Rashid Shaheed","SEA","49.9","755.8","3.8","13.4","88.9","0.3","0.8","131.8"
"KC Concepcion","CLE","61.3","784.5","3.6","4.2","22.5","0.1","1.3","130.8"
"Khalil Shakir","BUF","69.7","726.3","3.9","1.1","5.5","0.0","0.8","130.1"
"Josh Downs","IND","68.8","704.9","4.2","1.4","4.2","0.0","0.8","129.3"
"Jalen Coker","CAR","60.7","718.0","4.5","0.0","0.0","0.0","0.8","127.4"
"Calvin Ridley","TEN","46.7","762.4","3.2","4.5","27.6","0.6","0.2","124.8"
"Makai Lemon","PHI","52.8","738.2","4.4","1.5","6.5","0.0","1.3","124.5"
"Denzel Boston","CLE","58.7","746.5","3.5","1.0","5.0","0.0","1.3","122.8"
"Jerry Jeudy","CLE","56.0","752.8","2.9","0.5","2.0","0.0","0.7","119.2"
"Tre Tucker","LV","50.2","631.6","3.8","11.2","54.6","0.2","0.1","117.0"
"Rashod Bateman","BAL","38.8","598.6","6.0","0.0","0.0","0.0","0.2","114.8"
"Keenan Allen","IND","58.6","607.2","3.8","0.0","0.0","0.0","0.3","112.5"
"Jalen McMillan","TB","46.6","607.3","3.9","4.7","26.8","0.1","0.2","110.5"
"Jauan Jennings","MIN","48.7","557.7","5.2","0.0","0.0","0.0","0.7","109.7"
"Ja'Kobi Lane","BAL","37.8","569.3","5.2","1.5","8.5","0.0","0.7","106.8"
"Jalen Nailor","LV","43.7","587.7","4.0","2.0","9.0","0.0","0.2","105.3"
"Devaughn Vele","NO","47.3","567.7","3.7","0.0","0.0","0.0","0.2","102.1"
"Kayshon Boutte","HOU","39.9","555.9","4.4","0.0","0.0","0.0","0.2","101.8"
"Cooper Kupp","SEA","47.4","584.8","3.4","0.5","1.5","0.0","0.7","101.5"
"Tank Dell","HOU","42.2","527.1","3.2","10.2","48.8","0.1","0.2","98.2"
"Adonai Mitchell","NYJ","39.9","550.5","3.3","2.1","5.1","0.1","0.7","94.2"
"Travis Hunter","JAC","41.6","496.6","3.3","2.0","10.8","0.1","0.4","91.0"
"Malik Washington","MIA","45.4","411.9","2.4","13.5","80.8","0.7","0.8","88.9"
"Germie Bernard","PIT","41.2","508.2","2.9","2.1","10.8","0.0","0.7","88.6"
"Dontayvion Wicks","PHI","39.5","517.7","2.9","0.0","0.0","0.0","0.4","88.2"
"Jordyn Tyson","NO","37.8","529.1","2.9","1.0","3.5","0.0","0.7","87.9"
"Bub Means","NO","38.0","519.0","3.0","1.0","7.0","0.0","1.0","87.6"
"Antonio Williams","WAS","35.5","496.7","3.1","3.5","18.7","0.1","1.2","86.4"
"Jaylin Noel","HOU","39.8","450.0","3.2","5.1","17.6","0.1","0.2","86.0"
"Caleb Douglas","MIA","39.5","508.8","2.6","1.0","5.5","0.0","0.7","85.1"
"Omar Cooper Jr.","NYJ","38.4","458.0","3.1","2.1","12.5","0.1","0.7","83.9"
"Tory Horton","SEA","30.3","401.5","4.7","0.5","3.0","0.0","0.6","82.3"
"Darius Slayton","NYG","35.8","526.2","2.0","1.6","8.6","0.0","0.7","82.3"
"Troy Franklin","DEN","36.5","402.7","3.9","3.0","10.8","0.0","0.6","82.0"
"Chris Bell","MIA","37.2","469.5","2.7","1.0","5.5","0.0","0.6","80.8"
"Tyquan Thornton","KC","25.4","467.5","3.5","0.0","0.0","0.0","0.1","80.2"
"Xavier Legette","CAR","35.9","417.5","2.6","2.1","10.8","0.1","0.4","75.8"
"Jahan Dotson","ATL","35.2","443.3","2.3","0.0","0.0","0.0","0.3","74.9"
"Tre' Harris","LAC","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.5"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","72.4"
"Ryan Flournoy","DAL","33.8","383.1","2.7","2.2","12.5","0.1","0.4","72.3"
"Christian Kirk","SF","32.4","381.1","2.4","0.0","0.0","0.0","0.0","68.7"
"Ted Hurst III","TB","28.9","389.9","2.6","1.0","6.5","0.0","0.6","68.2"
"Jalen Tolbert","MIA","33.2","411.1","1.7","0.0","0.0","0.0","0.3","67.0"
"Hollywood Brown","PHI","28.2","349.9","3.0","0.0","0.0","0.0","0.1","67.0"
"Malik Benson","LV","33.2","397.7","1.9","1.0","4.0","0.0","0.6","67.0"
"Elic Ayomanor","TEN","25.4","342.8","3.3","0.0","0.0","0.0","0.0","66.8"
"Xavier Hutchinson","HOU","30.9","369.4","2.1","2.1","14.2","0.0","0.1","66.1"
"DeMario Douglas","NE","30.2","365.3","2.0","4.1","21.4","0.2","0.4","66.1"
"Andrei Iosivas","CIN","27.8","352.4","2.6","2.5","11.0","0.0","0.1","65.6"
"Chimere Dike","TEN","27.8","271.6","3.4","10.1","33.7","0.3","0.6","65.3"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","64.6"
"Keon Coleman","BUF","24.4","337.7","2.8","0.0","0.0","0.0","0.2","62.4"
"Darnell Mooney","NYG","24.1","349.3","1.9","2.2","11.9","0.1","0.2","59.4"
"Pat Bryant","DEN","28.4","320.5","2.1","0.0","0.0","0.0","0.3","58.4"
"Joshua Palmer","BUF","25.9","342.2","1.6","0.0","0.0","0.0","0.1","56.8"
"Ashton Dulin","IND","17.5","338.3","1.3","5.1","46.1","0.1","0.1","55.3"
"Malachi Fields","NYG","26.3","321.3","1.8","0.0","0.0","0.0","0.3","55.2"
"Marvin Mims Jr.","DEN","24.1","273.1","1.6","8.2","45.2","0.3","0.4","54.8"
"KaVontae Turpin","DAL","18.1","229.5","1.7","17.8","103.2","0.4","0.4","54.5"
"Zavion Thomas","CHI","23.2","304.8","2.1","1.5","6.5","0.0","1.1","53.3"
"Jack Bech","LV","27.7","315.0","1.2","0.0","0.0","0.0","0.3","52.0"
"Savion Williams","GB","20.5","230.8","1.7","9.0","46.9","0.3","0.3","49.5"
"Jahdae Walker","CHI","17.6","232.8","2.7","0.5","3.5","0.0","0.0","48.4"
"Mack Hollins","NE","21.5","257.6","1.6","0.0","0.0","0.0","0.2","45.7"
"Tutu Atwell","LAR","21.1","301.4","0.5","2.2","11.4","0.1","0.2","44.7"
"Demarcus Robinson","SF","17.6","251.5","1.7","0.5","2.5","0.0","0.0","44.1"
"Cyrus Allen","KC","19.4","245.8","1.6","0.0","0.0","0.0","0.2","43.2"
"Luke McCaffrey","WAS","14.4","221.1","2.3","0.0","0.0","0.0","0.0","42.7"
"Kyle Williams","NE","16.0","232.3","1.4","4.1","22.4","0.2","0.2","42.6"
"Theo Wease Jr.","MIA","16.0","233.0","1.3","0.0","0.0","0.0","0.0","39.1"
"Kendrick Bourne","ARI","22.8","239.2","0.7","0.0","0.0","0.0","0.2","38.9"
"Dyami Brown","WAS","15.9","216.9","1.6","0.0","0.0","0.0","0.2","38.8"
"Treylon Burks","WAS","15.0","217.8","1.4","0.0","0.0","0.0","0.1","37.2"
"Kalif Raymond","CHI","19.2","186.9","0.9","4.6","27.2","0.2","0.2","36.8"
"Devontez Walker","BAL","14.5","208.8","1.5","0.0","0.0","0.0","0.2","36.6"
"Colbie Young","CIN","14.1","176.3","1.3","0.0","0.0","0.0","0.1","32.4"
"Bryce Lance","NO","15.1","193.2","0.9","0.0","0.0","0.0","0.2","31.9"
"Jaylin Lane","WAS","12.4","159.5","1.1","0.0","0.0","0.0","0.1","28.4"
"Elijah Sarratt","BAL","11.1","165.8","1.0","0.0","0.0","0.0","0.1","28.0"
"Isaiah Bond","CLE","10.0","132.5","0.8","4.3","23.6","0.1","0.1","25.7"
"Jordan Whittington","LAR","11.3","128.2","0.9","2.3","12.1","0.1","0.1","25.6"
"Olamide Zaccheaus","ATL","14.3","142.3","0.6","0.0","0.0","0.0","0.2","24.8"
"Kevin Coleman Jr.","MIA","12.8","161.0","0.4","0.0","0.0","0.0","0.1","24.7"
"Konata Mumpfield","LAR","9.9","126.7","1.1","0.0","0.0","0.0","0.1","24.2"
"Skyler Bell","BUF","10.1","136.5","0.8","0.0","0.0","0.0","0.1","23.3"
"Roman Wilson","PIT","11.8","135.1","0.6","0.0","0.0","0.0","0.1","22.9"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.7"
"Isaiah Williams","NYJ","11.8","114.2","0.4","2.2","12.7","0.1","0.1","21.5"
"Odell Beckham Jr.","NYG","9.2","113.2","0.6","0.0","0.0","0.0","0.1","19.4"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.0"
"Jimmy Horn Jr.","CAR","6.7","75.6","0.4","6.2","36.7","0.2","0.1","17.8"
"Jalen Royals","KC","6.8","78.3","0.6","0.0","0.0","0.0","0.1","14.9"
"KeAndre Lambert-Smith","LAC","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.6"
"Nick Westbrook-Ikhine","IND","6.1","76.6","0.6","0.0","0.0","0.0","0.1","14.1"
"Mason Tipton","NO","6.8","80.5","0.3","0.0","0.0","0.0","0.1","13.3"
"Dont'e Thornton Jr.","LV","6.0","83.0","0.3","0.0","0.0","0.0","0.1","13.0"
"Greg Dortch","DET","4.1","39.7","0.3","4.6","24.0","0.4","0.1","12.1"
"Bo Melton","GB","2.9","37.4","0.3","4.5","25.9","0.1","0.1","10.0"
"Barion Brown","NO","4.6","57.3","0.3","0.0","0.0","0.0","0.1","9.5"
"Tyrell Shavers","BUF","4.0","52.1","0.3","0.0","0.0","0.0","0.0","8.9"
"Derius Davis","LAC","3.5","38.1","0.3","2.1","11.0","0.1","0.1","8.6"
"Malachi Corley","CLE","1.7","16.8","0.1","6.4","44.0","0.2","0.1","8.3"
"Mitch Tinsley","CIN","3.3","41.8","0.4","0.0","0.0","0.0","0.0","8.1"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","8.1"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","7.9"
"Efton Chism III","NE","3.5","42.7","0.3","0.0","0.0","0.0","0.0","7.7"
"Justin Watson","HOU","3.1","41.3","0.2","0.0","0.0","0.0","0.0","6.9"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","6.9"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","6.9"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.8"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","6.4"
"Brycen Tremayne","CAR","3.3","36.1","0.2","0.0","0.0","0.0","0.0","6.2"
"Arian Smith","NYJ","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"Ben Skowronek","PIT","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.0"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"Kaden Wetjen","PIT","0.0","0.0","0.0","2.2","11.7","0.1","0.0","1.6"
"Jalen Reagor","MIA","0.7","9.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ihmir Smith-Marsette","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Anthony Gould","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
