"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"2",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-1"
"3",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+1"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+3"
"8",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-3"
"9",2,"Justin Jefferson",MIN,"WR6","6","4 out of 5","2 out of 5","5 out of 5 stars","+3"
"10",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-3"
"11",2,"Drake London",ATL,"WR7","11","4 out of 5","3 out of 5","3 out of 5 stars","+8"
"12",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+8"
"13",3,"James Cook III",BUF,"RB5","7","5 out of 5","2 out of 5","2 out of 5 stars","-4"
"14",3,"Nico Collins",HOU,"WR9","8","5 out of 5","2 out of 5","3 out of 5 stars","+10"
"15",3,"Chase Brown",CIN,"RB6","6","5 out of 5","2 out of 5","2 out of 5 stars","-1"
"16",3,"Chris Olave",NO,"WR10","8","4 out of 5","4 out of 5","3 out of 5 stars","+11"
"17",3,"Brock Bowers",LV,"TE1","13","5 out of 5","1 out of 5","3 out of 5 stars","+5"
"18",3,"George Pickens",DAL,"WR11","14","4 out of 5","3 out of 5","2 out of 5 stars","+7"
"19",3,"De'Von Achane",MIA,"RB7","6","4 out of 5","4 out of 5","3 out of 5 stars","-8"
"20",3,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","2 out of 5 stars","+1"
"21",4,"DeVonta Smith",PHI,"WR12","10","4 out of 5","2 out of 5","4 out of 5 stars","+13"
"22",4,"Saquon Barkley",PHI,"RB8","10","4 out of 5","3 out of 5","4 out of 5 stars","-9"
"23",4,"Rashee Rice",KC,"WR13","5","4 out of 5","4 out of 5","2 out of 5 stars","+3"
"24",4,"Malik Nabers",NYG,"WR14","8","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"25",4,"Omarion Hampton",LAC,"RB9","7","5 out of 5","2 out of 5","3 out of 5 stars","-8"
"26",4,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","-3"
"",4
"27",4,"Kenneth Walker III",KC,"RB10","5","5 out of 5","4 out of 5","3 out of 5 stars","-9"
"28",4,"Ashton Jeanty",LV,"RB11","13","4 out of 5","4 out of 5","2 out of 5 stars","-13"
"29",4,"Garrett Wilson",NYJ,"WR15","13","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"30",4,"Zay Flowers",BAL,"WR16","13","4 out of 5","2 out of 5","4 out of 5 stars","+5"
"31",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","4 out of 5","3 out of 5 stars","+10"
"32",4,"Jaylen Waddle",DEN,"WR17","10","4 out of 5","3 out of 5","2 out of 5 stars","+16"
"33",4,"Ladd McConkey",LAC,"WR18","7","4 out of 5","4 out of 5","2 out of 5 stars","+11"
"34",4,"Tetairoa McMillan",CAR,"WR19","5","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"35",5,"Tee Higgins",CIN,"WR20","6","5 out of 5","2 out of 5","4 out of 5 stars","+7"
"36",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+7"
"37",5,"Derrick Henry",BAL,"RB12","13","4 out of 5","2 out of 5","3 out of 5 stars","-21"
"38",5,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+15"
"39",5,"Breece Hall",NYJ,"RB13","13","4 out of 5","4 out of 5","3 out of 5 stars","-6"
"40",5,"Emeka Egbuka",TB,"WR21","10","5 out of 5","3 out of 5","4 out of 5 stars","0"
"41",5,"Jeremiyah Love",ARI,"RB14","14","5 out of 5","3 out of 5","2 out of 5 stars","-12"
"42",5,"Kyren Williams",LAR,"RB15","11","4 out of 5","2 out of 5","5 out of 5 stars","-12"
"43",5,"Javonte Williams",DAL,"RB16","14","4 out of 5","4 out of 5","4 out of 5 stars","-12"
"44",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+10"
"45",5,"Josh Jacobs",GB,"RB17","11","4 out of 5","3 out of 5","4 out of 5 stars","-13"
"46",5,"Terry McLaurin",WAS,"WR22","7","4 out of 5","2 out of 5","2 out of 5 stars","+9"
"47",5,"Luther Burden III",CHI,"WR23","10","4 out of 5","4 out of 5","3 out of 5 stars","+9"
"48",5,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","4 out of 5","3 out of 5 stars","-12"
"49",5,"Davante Adams",LAR,"WR24","11","4 out of 5","4 out of 5","1 out of 5 stars","+2"
"50",5,"DJ Moore",BUF,"WR25","7","4 out of 5","2 out of 5","4 out of 5 stars","0"
"51",6,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"52",6,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+10"
"53",6,"D'Andre Swift",CHI,"RB19","10","3 out of 5","2 out of 5","2 out of 5 stars","-7"
"54",6,"Jameson Williams",DET,"WR26","6","4 out of 5","3 out of 5","4 out of 5 stars","+4"
"55",6,"Mike Evans",SF,"WR27","8","4 out of 5","3 out of 5","2 out of 5 stars","+9"
"56",6,"Jalen Hurts",PHI,"QB6","10","4 out of 5","4 out of 5","5 out of 5 stars","+7"
"57",6,"Cam Skattebo",NYG,"RB20","8","4 out of 5","4 out of 5","4 out of 5 stars","-20"
"58",6,"Rome Odunze",CHI,"WR28","10","4 out of 5","3 out of 5","3 out of 5 stars","+3"
"59",6,"Christian Watson",GB,"WR29","11","4 out of 5","4 out of 5","5 out of 5 stars","+7"
"60",6,"Bucky Irving",TB,"RB21","10","3 out of 5","4 out of 5","2 out of 5 stars","-15"
"61",6,"David Montgomery",HOU,"RB22","8","4 out of 5","2 out of 5","4 out of 5 stars","-12"
"62",6,"Quinshon Judkins",CLE,"RB23","11","4 out of 5","4 out of 5","3 out of 5 stars","-15"
"63",6,"Parker Washington",JAC,"WR30","7","4 out of 5","3 out of 5","4 out of 5 stars","+7"
"64",6,"Caleb Williams",CHI,"QB7","10","4 out of 5","2 out of 5","3 out of 5 stars","+13"
"65",6,"Bhayshul Tuten",JAC,"RB24","7","4 out of 5","3 out of 5","4 out of 5 stars","-8"
"66",6,"Carnell Tate",TEN,"WR31","9","4 out of 5","3 out of 5","3 out of 5 stars","+8"
"67",6,"Marvin Harrison Jr.",ARI,"WR32","14","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"68",6,"TreVeyon Henderson",NE,"RB25","11","4 out of 5","4 out of 5","2 out of 5 stars","-9"
"69",6,"Justin Herbert",LAC,"QB8","7","4 out of 5","2 out of 5","2 out of 5 stars","+17"
"70",6,"Jadarian Price",SEA,"RB26","11","4 out of 5","4 out of 5","4 out of 5 stars","-10"
"71",6,"Harold Fannin Jr.",CLE,"TE5","11","4 out of 5","3 out of 5","3 out of 5 stars","-4"
"72",7,"Chris Godwin Jr.",TB,"WR33","10","4 out of 5","4 out of 5","4 out of 5 stars","+21"
"73",7,"Rhamondre Stevenson",NE,"RB27","11","4 out of 5","3 out of 5","2 out of 5 stars","-8"
"74",7,"Jaylen Warren",PIT,"RB28","9","4 out of 5","4 out of 5","2 out of 5 stars","-5"
"75",7,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","1 out of 5","4 out of 5 stars","+8"
"76",7,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","-1"
"77",7,"DK Metcalf",PIT,"WR34","9","3 out of 5","3 out of 5","3 out of 5 stars","+4"
"78",7,"Kyle Pitts Sr.",ATL,"TE6","11","4 out of 5","4 out of 5","3 out of 5 stars","-10"
"79",7,"Brian Thomas Jr.",JAC,"WR35","7","2 out of 5","4 out of 5","4 out of 5 stars","+1"
"80",7,"Michael Pittman Jr.",PIT,"WR36","9","4 out of 5","3 out of 5","3 out of 5 stars","+14"
"81",7,"Tucker Kraft",GB,"TE7","11","5 out of 5","2 out of 5","2 out of 5 stars","-10"
"82",7,"Courtland Sutton",DEN,"WR37","10","2 out of 5","4 out of 5","2 out of 5 stars","-6"
"83",7,"Tony Pollard",TEN,"RB29","9","4 out of 5","3 out of 5","3 out of 5 stars","-5"
"84",7,"Wan'Dale Robinson",TEN,"WR38","9","4 out of 5","3 out of 5","3 out of 5 stars","+12"
"85",7,"Sam LaPorta",DET,"TE8","6","4 out of 5","3 out of 5","3 out of 5 stars","-12"
"86",7,"Josh Downs",IND,"WR39","13","3 out of 5","4 out of 5","4 out of 5 stars","+26"
"87",7,"Michael Wilson",ARI,"WR40","14","-","-","2 out of 5 stars","-2"
"88",7,"Rico Dowdle",PIT,"RB30","9","4 out of 5","4 out of 5","2 out of 5 stars","-9"
"89",7,"Jonathon Brooks",CAR,"RB31","5","4 out of 5","4 out of 5","1 out of 5 stars","-7"
"90",7,"Quentin Johnston",LAC,"WR41","7","4 out of 5","4 out of 5","2 out of 5 stars","+20"
"",7
"91",7,"Brock Purdy",SF,"QB11","8","4 out of 5","2 out of 5","1 out of 5 stars","+17"
"92",7,"RJ Harvey",DEN,"RB32","10","2 out of 5","4 out of 5","2 out of 5 stars","-8"
