"Player","Team","REC","YDS","TDS","FL","FPTS"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","35.4"
"Ben Sims","MIA","19.5","184.6","1.2","0.0","35.1"
"Ja'Tavion Sanders","CAR","22.3","178.1","1.0","0.1","35.0"
"Elijah Higgins","ARI","22.0","201.5","0.8","0.6","35.0"
"Marlin Klein","HOU","19.5","192.5","1.1","0.5","34.6"
"Luke Musgrave","GB","18.8","183.8","1.1","0.0","34.4"
"John Bates","WAS","17.1","169.9","1.6","0.6","33.9"
"Jeremy Ruckert","NYJ","19.7","146.2","1.3","0.0","32.0"
"Jake Tonges","SF","15.8","156.8","1.3","0.0","31.0"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","29.8"
"Connor Heyward","LV","14.0","102.0","2.0","0.0","29.2"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","26.5"
"Drew Sample","CIN","15.2","123.2","1.1","0.1","26.3"
"Nate Adkins","DEN","11.9","88.4","1.8","0.0","25.8"
"Cade Stover","HOU","15.2","127.7","0.9","0.1","25.5"
"Jackson Hawes","BUF","10.5","115.1","1.4","0.0","25.4"
"Ben Sinnott","WAS","11.1","114.4","1.4","0.0","25.3"
"Zack Kuntz","DAL","12.0","128.0","1.0","0.0","24.8"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","24.8"
"Luke Schoonmaker","DAL","13.2","121.5","1.0","0.0","24.4"
"Will Mallory","IND","11.0","125.0","1.0","0.0","24.0"
"Grant Calcaterra","PHI","11.0","115.0","1.0","0.0","23.0"
"Teagan Quitoriano","ARI","12.0","109.0","1.0","0.0","22.9"
"Foster Moreau","HOU","9.3","105.4","1.3","0.0","22.9"
"Bauer Sharp","TB","11.0","113.0","1.0","0.0","22.8"
"Tanner Hudson","CIN","13.1","110.3","0.9","0.1","22.8"
"Cam Grandy","CIN","13.0","100.0","1.0","0.0","22.5"
"Dallen Bentley","DEN","12.0","105.0","1.0","0.0","22.5"
"Tanner Conner","NYG","10.0","113.0","1.0","0.0","22.3"
"Mo Alie-Cox","IND","10.7","113.9","0.9","0.1","22.1"
"Charlie Woerner","ATL","13.5","114.4","0.6","0.0","21.7"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","21.1"
"Jaheim Bell","PIT","10.0","98.0","1.0","0.0","20.8"
"Drake Dabney","GB","10.0","95.0","1.0","0.0","20.5"
"Durham Smythe","BAL","9.8","94.0","0.7","0.1","18.6"
"Mitchell Evans","CAR","8.0","71.5","1.0","0.0","17.2"
"Joe Royer","CLE","8.8","82.0","0.7","0.0","16.6"
"Max Klare","LAR","8.0","82.6","0.7","0.0","16.3"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","14.8"
"Tanner Koziol","JAC","7.0","73.8","0.6","0.0","14.7"
"Devin Culp","TB","5.5","59.0","1.0","0.0","14.7"
"Sam Roush","CHI","6.8","72.4","0.6","0.0","14.5"
"Payne Durham","TB","7.2","70.6","0.6","0.1","14.4"
"Oscar Delp","NO","7.8","74.1","0.5","0.1","14.1"
"Josh Whyle","GB","6.8","59.5","0.7","0.0","13.3"
"Hunter Long","JAC","5.0","45.0","1.0","0.0","13.0"
"Chris Manhertz","NYG","5.4","50.6","0.6","0.0","11.1"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","10.5"
"Justin Joly","DEN","4.0","37.9","0.3","0.0","7.5"
"Luke Farrell","SF","4.0","38.3","0.3","0.0","7.3"
"CJ Dippre","NE","3.9","37.4","0.3","0.0","7.3"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","7.2"
"Tyler Conklin","DET","3.7","37.9","0.3","0.0","7.1"
"Drew Ogletree","IND","3.6","36.3","0.3","0.0","7.0"
"Josh Cuevas","BAL","3.3","35.8","0.3","0.0","6.9"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","6.9"
"Tip Reiman","ARI","3.8","34.4","0.2","0.0","6.5"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","6.5"
"Ian Thomas","LV","3.8","36.0","0.2","0.0","6.4"
"Blake Whiteheart","CLE","3.6","31.7","0.2","0.0","5.9"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Jack Stoll","CLE","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
