"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Samaje Perine","CIN","RB54","98.5","441.8","3.7","17.9","135.7","0.4","1.9","87.2"
"Gunnar Helm","TEN","TE30","0.0","0.0","0.0","48.9","444.1","3.1","0.2","87.1"
"Antonio Williams","WAS","WR78","3.5","18.7","0.1","35.5","496.7","3.1","1.2","86.4"
"David Njoku","LAC","TE31","0.0","0.0","0.0","42.3","396.6","4.3","0.1","86.3"
"Jaylin Noel","HOU","WR79","5.1","17.6","0.1","39.8","450.0","3.2","0.2","86.0"
"Mike Gesicki","CIN","TE32","0.0","0.0","0.0","41.4","434.3","3.6","0.1","85.4"
"Caleb Douglas","MIA","WR80","1.0","5.5","0.0","39.5","508.8","2.6","0.7","85.1"
"Omar Cooper Jr.","NYJ","WR81","2.1","12.5","0.1","38.4","458.0","3.1","0.7","83.9"
"Kaelon Black","SF","RB55","113.6","452.7","3.6","10.6","94.9","0.7","1.2","83.4"
"Tyrone Tracy Jr.","NYG","RB56","86.5","366.1","1.8","23.6","181.0","1.1","0.6","83.1"
"Ty Johnson","BUF","RB57","51.9","222.2","2.1","22.8","244.0","2.1","0.2","82.9"
"Brian Robinson Jr.","ATL","RB58","120.2","517.1","3.9","7.3","46.7","0.1","0.7","82.5"
"Tory Horton","SEA","WR82","0.5","3.0","0.0","30.3","401.5","4.7","0.6","82.3"
"Darius Slayton","NYG","WR83","1.6","8.6","0.0","35.8","526.2","2.0","0.7","82.3"
"Oronde Gadsden II","LAC","TE33","0.0","0.0","0.0","37.8","474.9","2.8","0.6","82.2"
"Troy Franklin","DEN","WR84","3.0","10.8","0.0","36.5","402.7","3.9","0.6","82.0"
"MarShawn Lloyd","GB","RB59","93.8","401.5","3.4","16.0","115.3","0.4","0.4","81.5"
"Chris Bell","MIA","WR85","1.0","5.5","0.0","37.2","469.5","2.7","0.6","80.8"
"Tank Bigsby","PHI","RB60","104.6","510.9","4.2","3.8","31.8","0.1","0.7","80.3"
"Tyquan Thornton","KC","WR86","0.0","0.0","0.0","25.4","467.5","3.5","0.1","80.2"
"Mason Taylor","NYJ","TE34","0.0","0.0","0.0","46.1","405.9","2.5","0.1","78.2"
"Keaton Mitchell","LAC","RB61","95.6","432.8","2.2","15.5","114.5","0.4","0.7","76.6"
"Xavier Legette","CAR","WR87","2.1","10.8","0.1","35.9","417.5","2.6","0.4","75.8"
"Jahan Dotson","ATL","WR88","0.0","0.0","0.0","35.2","443.3","2.3","0.3","74.9"
"Emari Demercado","KC","RB62","76.8","427.5","1.7","16.4","119.8","0.8","1.7","74.6"
"Colby Parkinson","LAR","TE35","0.0","0.0","0.0","33.3","342.5","4.0","0.6","73.8"
"Tre' Harris","LAC","WR89","0.0","0.0","0.0","34.5","410.5","2.5","0.4","72.5"
"Isaac TeSlaa","DET","WR90","0.0","0.0","0.0","25.4","352.4","4.1","0.1","72.4"
"Ryan Flournoy","DAL","WR91","2.2","12.5","0.1","33.8","383.1","2.7","0.4","72.3"
"Michael Mayer","LV","TE36","0.0","0.0","0.0","40.0","376.3","2.1","0.1","70.0"
"Jordan James","SF","RB63","80.7","322.6","2.5","14.0","131.6","0.6","1.1","68.8"
"Christian Kirk","SF","WR92","0.0","0.0","0.0","32.4","381.1","2.4","0.0","68.7"
"Najee Harris","NYG","RB64","93.4","390.8","2.6","10.6","75.6","0.2","0.2","68.6"
"Ted Hurst III","TB","WR93","1.0","6.5","0.0","28.9","389.9","2.6","0.6","68.2"
"Jalen Tolbert","MIA","WR94","0.0","0.0","0.0","33.2","411.1","1.7","0.3","67.0"
"Hollywood Brown","PHI","WR95","0.0","0.0","0.0","28.2","349.9","3.0","0.1","67.0"
"Malik Benson","LV","WR96","1.0","4.0","0.0","33.2","397.7","1.9","0.6","67.0"
"Elic Ayomanor","TEN","WR97","0.0","0.0","0.0","25.4","342.8","3.3","0.0","66.8"
"Xavier Hutchinson","HOU","WR98","2.1","14.2","0.0","30.9","369.4","2.1","0.1","66.1"
"DeMario Douglas","NE","WR99","4.1","21.4","0.2","30.2","365.3","2.0","0.4","66.1"
"Andrei Iosivas","CIN","WR100","2.5","11.0","0.0","27.8","352.4","2.6","0.1","65.6"
"Chimere Dike","TEN","WR101","10.1","33.7","0.3","27.8","271.6","3.4","0.6","65.3"
"Dawson Knox","BUF","TE37","0.0","0.0","0.0","28.6","331.7","2.9","0.1","64.9"
"Zachariah Branch","ATL","WR102","0.0","0.0","0.0","31.4","381.7","1.9","0.3","64.6"
"Keon Coleman","BUF","WR103","0.0","0.0","0.0","24.4","337.7","2.8","0.2","62.4"
"Theo Johnson","NYG","TE38","0.0","0.0","0.0","27.8","313.7","2.9","0.1","62.3"
"Adam Randall","BAL","RB65","55.1","281.7","2.0","10.8","108.9","1.1","0.6","61.7"
"Darnell Mooney","NYG","WR104","2.2","11.9","0.1","24.1","349.3","1.9","0.2","59.4"
"Darnell Washington","PIT","TE39","0.0","0.0","0.0","30.7","329.1","2.0","0.6","58.8"
"Pat Bryant","DEN","WR105","0.0","0.0","0.0","28.4","320.5","2.1","0.3","58.4"
"Malik Davis","DAL","RB66","73.6","344.8","2.5","6.6","52.3","0.1","0.6","57.4"
"Joshua Palmer","BUF","WR106","0.0","0.0","0.0","25.9","342.2","1.6","0.1","56.8"
"Tyler Higbee","LAR","TE40","0.0","0.0","0.0","25.1","296.5","2.4","0.0","56.6"
"Chris Brooks","GB","RB67","72.7","324.6","1.3","13.4","93.3","0.2","0.6","56.5"
"Ashton Dulin","IND","WR107","5.1","46.1","0.1","17.5","338.3","1.3","0.1","55.3"
"Malachi Fields","NYG","WR108","0.0","0.0","0.0","26.3","321.3","1.8","0.3","55.2"
"Marvin Mims Jr.","DEN","WR109","8.2","45.2","0.3","24.1","273.1","1.6","0.4","54.8"
"KaVontae Turpin","DAL","WR110","17.8","103.2","0.4","18.1","229.5","1.7","0.4","54.5"
"Cole Kmet","CHI","TE41","0.0","0.0","0.0","26.2","274.1","2.2","0.1","53.7"
"Erick All Jr.","CIN","TE42","0.0","0.0","0.0","30.5","268.1","1.9","0.1","53.5"
"Zavion Thomas","CHI","WR111","1.5","6.5","0.0","23.2","304.8","2.1","1.1","53.3"
"James Conner","ARI","RB68","42.5","153.5","1.5","18.0","138.0","1.0","0.0","53.2"
"Kimani Vidal","LAC","RB69","60.2","234.2","1.6","11.9","104.0","0.7","0.1","53.0"
"Jack Bech","LV","WR112","0.0","0.0","0.0","27.7","315.0","1.2","0.3","52.0"
"Jaydon Blue","DAL","RB70","62.4","263.0","2.0","8.7","61.7","0.4","0.3","50.3"
"Savion Williams","GB","WR113","9.0","46.9","0.3","20.5","230.8","1.7","0.3","49.5"
"Noah Fant","NO","TE43","0.0","0.0","0.0","29.3","274.4","1.6","1.6","48.6"
"Will Kacmarek","MIA","TE44","0.0","0.0","0.0","26.6","250.7","1.9","0.6","48.5"
"Jahdae Walker","CHI","WR114","0.5","3.5","0.0","17.6","232.8","2.7","0.0","48.4"
"Emanuel Wilson","SEA","RB71","70.2","290.5","1.7","7.7","52.1","0.0","0.5","47.4"
