"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"138",10,"Matthew Stafford",LAR,"QB24","38","91","176","139.4","19.4","-5"
"139",10,"Sam Darnold",SEA,"QB25","29","127","160","140.7","7.2","+61"
"140",10,"Tre' Harris",LAC,"WR60","24","112","173","141.5","19.9","+32"
"141",10,"Daniel Jones",IND,"QB26","29","139","154","146.4","3.9","+101"
"142",10,"Tony Pollard",TEN,"RB37","29","113","181","147.1","20.7","-21"
"143",10,"Kenny Gainwell",TB,"RB38","27","111","168","148.1","16.2","-21"
"144",10,"Rashid Shaheed",SEA,"WR61","28","113","182","148.2","19.1","+2"
"145",10,"Chris Bell",MIA,"WR62","22","115","234","148.2","38.7","0"
"146",10,"Travis Hunter",JAC,"WR63","23","100","192","150.3","28.1","-34"
"147",10,"Jacory Croskey-Merritt",WAS,"RB39","25","132","166","152.3","8.6","-37"
"148",10,"Chig Okonkwo",WAS,"TE20","26","118","195","152.9","27.2","+18"
"149",10,"Jalen McMillan",TB,"WR64","24","125","194","153.4","20.1","+1"
"150",10,"AJ Barner",SEA,"TE21","24","114","188","154.0","22.5","-15"
"151",10,"Travis Kelce",KC,"TE22","36","121","186","154.4","16.8","-21"
"152",10,"Bryce Young",CAR,"QB27","25","142","203","154.6","15.6","+80"
"153",10,"Germie Bernard",PIT,"WR65","22","115","214","156.6","26.5","-16"
"154",10,"J.K. Dobbins",DEN,"RB40","27","133","181","156.6","14.1","-39"
"155",10,"Adonai Mitchell",NYJ,"WR66","23","126","196","159.4","21.3","+60"
"156",10,"Juwan Johnson",NO,"TE23","29","128","208","161.8","20.5","+3"
"157",10,"Stefon Diggs",WAS,"WR67","32","118","183","144.1","20.7","-9"
"158",10,"Rachaad White",WAS,"RB41","27","129","185","162.4","16.0","-18"
"159",10,"Jaylin Noel",HOU,"WR68","23","125","216","163.1","25.8","+84"
"160",10,"Jauan Jennings",MIN,"WR69","29","127","232","164.2","27.6","+17"
"161",10,"Jordan Mason",MIN,"RB42","27","146","191","164.8","12.6","-35"
"162",11,"Pat Bryant",DEN,"WR70","23","138","198","167.6","20.1","+49"
"163",11,"T.J. Hockenson",MIN,"TE24","29","144","189","168.4","15.2","-2"
"164",11,"Jerry Jeudy",CLE,"WR71","27","124","197","168.9","21.4","+42"
"165",11,"Woody Marks",HOU,"RB43","25","135","197","169.0","17.6","-41"
"166",11,"Tyrone Tracy Jr.",NYG,"RB44","26","140","193","169.4","14.9","-23"
"167",11,"Tyler Allgeier",ARI,"RB45","26","132","200","171.1","17.9","-47"
"168",11,"Ja'Kobi Lane",BAL,"WR72","22","128","255","171.6","39.3","-17"
"169",11,"Emmett Johnson",KC,"RB46","22","140","202","173.2","19.3","-25"
"170",11,"Deebo Samuel Sr.",SF,"WR73","30","134","237","175.4","32.5","-15"
