"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"92","LeQuint Allen Jr. (JAC)","23","94","4.1","12","0","0","11","10","54","5.4","0","0","17","14.8","0.9","2.3%"
"93","Terrell Jennings (NE)","23","73","3.2","11","0","1","1","1","9","9.0","0","0","6","14.2","2.4","1.0%"
"94","Dare Ogunbowale (HOU)","11","25","2.3","9","0","1","13","10","76","7.6","0","1","17","14.1","0.8","1.0%"
"95","C.J. Ham (MIN)","3","5","1.7","3","0","2","2","2","11","5.5","0","0","11","13.6","1.2","1.0%"
"96","Braelon Allen (NYJ)","18","76","4.2","15","0","1","3","2","17","8.5","0","1","4","13.3","3.3","16.3%"
"97","Kene Nwangwu (NYJ)","13","49","3.8","16","0","0","1","0","0","0","0","0","10","10.9","1.1","0.2%"
"98","Adam Prentice (DEN)","10","44","4.4","18","0","0","8","6","53","8.8","0","0","17","9.7","0.6","0.6%"
"98","Brittain Brown (CHI)","5","37","7.4","22","1","1","1","0","0","0","0","0","2","9.7","4.9","2.6%"
"100","DJ Giddens (IND)","26","96","3.7","12","0","0","2","0","0","0","0","0","9","9.6","1.1","1.4%"
"101","Trayveon Williams (CLE)","10","36","3.6","11","0","0","9","8","55","6.9","0","0","7","9.1","1.3","0.0%"
"102","Phil Mafah (DAL)","5","18","3.6","8","0","1","2","2","11","5.5","0","0","1","8.9","8.9","0.6%"
"103","Trevor Etienne (CAR)","20","94","4.7","22","1","0","3","3","13","4.3","0","1","17","8.7","0.5","1.0%"
"104","Najee Harris (LAC)","15","61","4.1","7","0","0","3","3","25","8.3","0","0","3","8.6","2.9","8.5%"
"105","Will Shipley (PHI)","14","49","3.5","20","1","0","12","9","56","6.2","0","1","15","8.5","0.6","0.8%"
"106","Austin Ekeler (WAS)","14","43","3.1","6","0","0","7","5","38","7.6","0","0","3","8.1","2.7","0.6%"
"107","British Brooks (HOU)","17","78","4.6","20","1","0","0","0","0","0","0","0","13","7.8","0.6","0.0%"
"107","Kaleb Johnson (PIT)","28","69","2.5","9","0","0","2","1","9","9.0","0","0","10","7.8","0.8","3.3%"
"109","Corey Kiner (ARI)","12","58","4.8","9","0","0","3","2","15","7.5","0","0","4","7.3","1.8","1.0%"
"110","Cam Akers (SEA)","5","19","3.8","14","0","0","1","0","0","0","0","0","4","7.2","1.8","1.0%"
"111","Alec Ingold (MIA)","2","9","4.5","6","0","0","11","8","52","6.5","0","0","17","6.1","0.4","0.6%"
"111","AJ Dillon (PHI)","12","60","5.0","11","0","0","3","3","21","7.0","0","1","7","6.1","0.9","0.6%"
"113","Hassan Haskins (LAC)","17","47","2.8","10","0","0","4","4","13","3.3","0","0","13","6.0","0.5","1.0%"
"114","Ty Chandler (MIN)","17","47","2.8","5","0","0","4","3","11","3.7","0","0","3","5.8","1.9","1.3%"
"115","Zamir White (LV)","12","32","2.7","9","0","0","6","4","24","6.0","0","0","5","5.6","1.1","0.9%"
"115","Khalil Herbert (NYJ)","16","52","3.3","7","0","0","4","1","4","4.0","0","0","5","5.6","1.1","1.2%"
"117","Evan Hull (NO)","19","48","2.5","8","0","0","1","1","6","6.0","0","0","6","5.4","0.9","1.7%"
"117","Tahj Brooks (CIN)","16","45","2.8","7","0","0","2","1","9","9.0","0","0","12","5.4","0.5","0.8%"
"119","Ronnie Rivers (LAR)","9","46","5.1","9","0","0","0","0","0","0","0","0","7","4.6","0.7","0.6%"
"120","Julius Chestnut (TEN)","11","40","3.6","27","1","0","2","0","0","0","0","0","17","4.0","0.2","0.7%"
"120","Nathan Carter (ATL)","9","60","6.7","12","0","0","0","0","0","0","0","1","4","4.0","1.0","1.0%"
"122","Dameon Pierce (KC)","14","36","2.6","10","0","0","1","0","0","0","0","0","5","3.6","0.7","0.8%"
"123","Tyler Goodson (IND)","9","24","2.7","6","0","0","3","2","8","4.0","0","0","11","3.2","0.3","1.2%"
"124","Reggie Gilliam (BUF)","2","4","2.0","5","0","0","2","2","24","12.0","0","0","17","2.8","0.2","0.1%"
"125","D'Ernest Johnson (NE)","14","25","1.8","5","0","0","0","0","0","0","0","0","6","2.5","0.4","1.0%"
"126","Clyde Edwards-Helaire (KC)","7","13","1.9","7","0","0","2","2","9","4.5","0","0","2","2.2","1.1","1.1%"
"127","DeeJay Dallas (JAC)","3","21","7.0","17","0","0","1","0","0","0","0","0","5","2.1","0.4","0.1%"
"128","Jacardia Wright (SEA)","5","20","4.0","10","0","0","0","0","0","0","0","0","1","2.0","2.0","0.1%"
"129","Roschon Johnson (CHI)","2","17","8.5","11","0","0","0","0","0","0","0","0","6","1.7","0.3","0.6%"
"130","Patrick Ricard (BAL)","1","3","3.0","3","0","0","2","1","8","8.0","0","0","12","1.1","0.1","0.8%"
"130","Jacob Saylors (DET)","2","11","5.5","9","0","0","0","0","0","0","0","0","11","1.1","0.1","0.1%"
"130","Josh Williams (TB)","4","11","2.8","4","0","0","0","0","0","0","0","0","2","1.1","0.6","0.1%"
"133","Amar Johnson (LAC)","2","8","4.0","6","0","0","1","0","0","0","0","0","1","0.8","0.8","0.0%"
"134","Dylan Laube (LV)","7","9","1.3","3","0","0","4","3","18","6.0","0","1","17","0.7","0.0","0.8%"
"134","Kalel Mullings (TEN)","3","7","2.3","4","0","0","0","0","0","0","0","0","5","0.7","0.1","1.0%"
"136","Myles Gaskin (SEA)","3","6","2.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"136","Owen Wright (TB)","3","6","2.0","4","0","0","0","0","0","0","0","0","3","0.6","0.2","0.0%"
