"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","319","460","69.3","3668","8.0","25","10","40","112","579","14","3","17","374.5","22.0","99.8%"
"2","Drake Maye (NE)","354","492","72.0","4394","8.9","31","8","47","103","450","4","3","17","358.9","21.1","99.4%"
"3","Matthew Stafford (LAR)","388","597","65.0","4707","7.9","46","8","23","29","1","0","3","17","358.3","21.1","91.5%"
"4","Trevor Lawrence (JAC)","341","560","60.9","4007","7.2","29","12","41","82","359","9","3","17","350.1","20.6","89.8%"
"5","Dak Prescott (DAL)","404","600","67.3","4552","7.6","30","10","31","53","177","2","2","17","323.8","19.0","92.5%"
"6","Caleb Williams (CHI)","330","568","58.1","3942","6.9","27","7","24","77","383","3","1","17","323.3","19.0","94.2%"
"7","Bo Nix (DEN)","388","612","63.4","3931","6.4","25","11","22","83","356","5","2","17","315.8","18.6","88.4%"
"8","Jared Goff (DET)","393","578","68.0","4564","7.9","34","8","38","19","45","0","5","17","305.1","17.9","75.3%"
"9","Jalen Hurts (PHI)","294","454","64.8","3224","7.1","25","6","32","105","421","8","4","16","305.0","19.1","97.3%"
"10","Justin Herbert (LAC)","340","512","66.4","3727","7.3","26","13","54","83","498","2","2","16","299.8","18.7","91.9%"
"11","Patrick Mahomes II (KC)","315","502","62.7","3587","7.1","22","11","34","64","422","5","0","14","295.7","21.1","87.2%"
"12","Baker Mayfield (TB)","343","543","63.2","3693","6.8","26","11","36","55","382","1","3","17","282.9","16.6","59.7%"
"13","Sam Darnold (SEA)","323","477","67.7","4048","8.5","25","14","27","35","95","0","6","17","249.4","14.7","38.9%"
"14","Jaxson Dart (NYG)","216","339","63.7","2272","6.7","15","5","35","86","487","9","2","14","246.5","17.6","92.6%"
"15","Jordan Love (GB)","291","439","66.3","3381","7.7","23","6","21","47","199","0","2","15","241.3","16.1","55.1%"
"16","Jacoby Brissett (ARI)","315","485","64.9","3366","6.9","23","8","43","38","168","1","4","14","235.4","16.8","16.3%"
"17","Daniel Jones (IND)","261","384","68.0","3101","8.1","19","8","22","45","164","5","3","13","234.4","18.0","34.5%"
"18","Aaron Rodgers (PIT)","327","498","65.7","3322","6.7","24","7","29","21","61","1","1","16","233.2","14.6","12.1%"
